learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
32000.0,0.968454284,0.0,32000.0,64.0,20.712879311787805,22.912205567451817,7.4550128534704445,1351.0,0.0,0.0,0.0
32100.0,0.971237873,0.0,32100.0,64.60000000000001,21.702202954967706,23.870967741935484,8.290155440414516,1451.0,0.0,0.0,0.0
32200.0,0.974123987,0.0,32200.0,65.4,22.82883614286926,26.382978723404253,9.186351706036753,1551.0,0.0,0.0,0.0
32300.0,0.976790373,0.0,32300.0,65.8,23.036762323119582,26.451612903225808,9.52380952380953,1651.0,0.0,0.0,0.0
32400.0,0.979509511,0.0,32400.0,65.8,23.54842603645534,27.848101265822788,11.627906976744196,1751.0,0.0,0.0,0.0
32500.0,0.982286998,0.0,32500.0,67.4,25.082271615832923,28.66520787746171,10.928961748633888,1851.0,0.0,0.0,0.0
32600.0,0.985183101,0.0,32600.0,67.2,24.331906097741037,29.764453961456105,10.869565217391314,1951.0,0.0,0.0,0.0
32700.0,0.987941288,0.0,32700.0,67.0,24.27892889103051,28.260869565217394,10.569105691056919,2051.0,0.0,0.0,0.0
32800.0,0.990690512,0.0,32800.0,66.2,22.835278432232027,28.23779193205945,10.582010582010591,2151.0,0.0,0.0,0.0
32900.0,0.993456238,0.0,32900.0,64.9,21.113668236901727,28.803245436105477,9.768637532133685,2251.0,0.0,0.0,0.0
33000.0,0.9962247,0.0,33000.0,65.60000000000001,23.093432536843622,28.925619834710748,12.244897959183684,2351.0,0.0,0.0,0.0
33100.0,0.999028939,0.0,33100.0,64.7,21.63218186661932,28.397565922920897,10.632911392405072,2451.0,0.0,0.0,0.0
33200.0,1.001831477,0.0,33200.0,63.7,19.19686581782566,25.46201232032854,7.397959183673477,2551.0,0.0,0.0,0.0
33300.0,1.004547352,0.0,33300.0,63.7,19.100342319212665,25.0,6.44329896907217,2651.0,0.0,0.0,0.0
33400.0,1.007281239,0.0,33400.0,64.4,19.164763102801526,25.678496868475992,4.043126684636123,2751.0,0.0,0.0,0.0
33500.0,1.010048102,0.0,33500.0,63.5,17.829806393516442,24.742268041237114,2.9255319148936194,2851.0,0.0,0.0,0.0
33600.0,1.012760364,0.0,33600.0,63.2,16.865466637750316,22.851153039832283,1.0752688172043021,2951.0,0.0,0.0,0.0
33700.0,1.015529802,0.0,33700.0,63.5,17.569264401665773,24.116424116424113,2.4064171122994673,3051.0,0.0,0.0,0.0
